Student GPA,Dropout Rate,Failure Rate,Semester,Degree Program,Course Load,Total Household Income,Housing Type,Employment,Debts,Category,Number of Scholarships Awarded,Resolution,Reason
91.30,1.80,0.90,3,MIAIC,86.50,12200.00,VIVIENDA_IMPROVISADA,1,1,EXCELENCIA_ACADEMICA,149,Rechazada,Semestres avanzados con bajo rendimiento consistente
55.10,26.50,33.50,9,MVZ,62.10,55500.00,CASA_PROPIA,0,1,ESCASOS_RECURSOS,199,Aceptada,Constancia perfecta en asistencia y rendimiento
94.00,0.80,0.30,4,MTIN,88.20,46500.00,DEPARTAMENTO,1,0,CONSTANCIA,99,Rechazada,Categoria de beca no aplica para carrera
66.70,16.50,21.50,6,LENF,69.70,56500.00,RESIDENCIA,0,0,ESTUDIANTE_TRABAJO,79,Devuelta,Documentacion laboral incompleta para verificacion
88.40,3.50,2.50,5,MIP,83.40,14200.00,VIVIENDA_IMPROVISADA,1,1,EXCELENCIA_ACADEMICA,151,Aceptada,Escasos recursos con discapacidad comprobada
53.40,27.50,34.50,8,PAD,61.40,57500.00,CASA_PROPIA,0,0,ESCASOS_RECURSOS,201,Rechazada,Ingresos familiares en rango medio no aplican
97.30,0.10,0.00,1,MCIQ,95.00,48500.00,DEPARTAMENTO,1,1,CONSTANCIA,101,Aceptada,Estudiante trabajador con horario completo
59.20,21.50,27.50,7,LDG,65.20,47500.00,RESIDENCIA,0,1,ESTUDIANTE_TRABAJO,81,Rechazada,Indice de reprobacion en materias clave
86.10,6.20,5.20,4,IME,80.10,16800.00,VIVIENDA_IMPROVISADA,1,0,EXCELENCIA_ACADEMICA,147,Devuelta,Comprobante estudios con errores ortograficos
74.80,9.50,12.50,6,IBT,75.80,55500.00,CASA_PROPIA,0,1,ESCASOS_RECURSOS,197,Aceptada,Excelencia academica con participacion investigacion
92.00,1.50,0.80,3,MIED,87.00,46500.00,DEPARTAMENTO,1,1,CONSTANCIA,97,Rechazada,Tipo vivienda no coincide con declaracion ingresos
56.70,23.50,30.50,8,ICA,63.70,54500.00,RESIDENCIA,0,0,ESTUDIANTE_TRABAJO,77,Aceptada,Constancia academica sin incidencias negativas
95.40,0.90,0.40,2,MADN,90.40,13200.00,VIVIENDA_IMPROVISADA,1,0,EXCELENCIA_ACADEMICA,153,Rechazada,Numero de becas insuficiente para demanda
67.90,15.50,20.50,7,LDCFD,70.90,52500.00,CASA_PROPIA,0,1,ESCASOS_RECURSOS,203,Devuelta,Documentacion requiere legalizacion notarial
89.20,3.20,2.20,5,MEIGI,84.20,44500.00,DEPARTAMENTO,1,1,CONSTANCIA,103,Aceptada,Situacion economica extrema con buen rendimiento
54.60,24.50,31.50,9,IE,64.60,56500.00,RESIDENCIA,0,0,ESTUDIANTE_TRABAJO,83,Rechazada,Promedio academico fluctuante sin tendencia mejora
96.60,0.30,0.10,1,MESF,94.60,15200.00,VIVIENDA_IMPROVISADA,1,1,EXCELENCIA_ACADEMICA,146,Aceptada,Estudiante trabajador con dependientes economicos
61.30,19.50,25.50,6,LAET,66.30,48500.00,CASA_PROPIA,0,0,ESCASOS_RECURSOS,196,Rechazada,Semestre inicial con historial academico insuficiente
87.90,4.80,3.80,4,LCEF,81.90,50500.00,DEPARTAMENTO,1,0,CONSTANCIA,96,Devuelta,Informacion empleador requiere verificacion directa
75.90,8.50,11.50,5,ISW,76.90,53500.00,RESIDENCIA,0,1,ESTUDIANTE_TRABAJO,76,Aceptada,Excelencia academica con reconocimientos externos
93.70,1.20,0.60,3,MGFN,88.70,15800.00,VIVIENDA_IMPROVISADA,1,1,EXCELENCIA_ACADEMICA,154,Rechazada,Vivienda propia de lujo no justifica apoyo
57.60,22.00,29.00,7,LEI,67.60,55500.00,CASA_PROPIA,0,1,ESCASOS_RECURSOS,204,Aceptada,Constancia en carrera de alta desercion
97.90,0.00,0.00,2,MP,96.90,47500.00,DEPARTAMENTO,1,0,CONSTANCIA,104,Rechazada,Deudas comerciales afectan perfil economico
69.10,14.50,19.50,6,LTA,72.10,56500.00,RESIDENCIA,0,0,ESTUDIANTE_TRABAJO,84,Devuelta,Formulario con firmas faltantes o ilegibles
90.80,2.70,1.70,4,MME,85.80,14200.00,VIVIENDA_IMPROVISADA,1,1,EXCELENCIA_ACADEMICA,150,Aceptada,Escasos recursos con situacion familiar compleja
58.90,20.00,26.00,8,IELE,68.90,54500.00,CASA_PROPIA,0,0,ESCASOS_RECURSOS,200,Rechazada,Empleo temporal no cumple requisitos estabilidad
98.20,0.10,0.00,1,MCNR,97.20,52500.00,DEPARTAMENTO,1,1,CONSTANCIA,100,Aceptada,Rendimiento academico superior a expectativas
70.30,13.50,18.50,7,LARQ,73.30,47500.00,RESIDENCIA,0,1,ESTUDIANTE_TRABAJO,80,Rechazada,Carga academica minima no califica para apoyo
91.60,1.90,0.90,5,LM,86.60,16800.00,VIVIENDA_IMPROVISADA,1,0,EXCELENCIA_ACADEMICA,145,Devuelta,Documentacion academica con fechas inconsistentes
59.50,21.00,27.00,9,LG,69.50,55500.00,CASA_PROPIA,0,1,ESCASOS_RECURSOS,195,Aceptada,Estudiante trabajador con excelente gestion tiempo
98.50,0.00,0.00,3,ME,96.50,48500.00,DEPARTAMENTO,1,0,CONSTANCIA,105,Rechazada,Indice de bajas recurrente en historial
71.70,12.00,17.00,8,LCP,74.70,56500.00,RESIDENCIA,0,0,ESTUDIANTE_TRABAJO,75,Aceptada,Situacion de vulnerabilidad extrema comprobada
92.90,1.40,0.70,4,MF,89.90,13200.00,VIVIENDA_IMPROVISADA,1,1,EXCELENCIA_ACADEMICA,155,Rechazada,Promedio academico en limite muy ajustado
60.80,18.00,23.00,10,LD,71.80,54500.00,CASA_PROPIA,0,1,ESCASOS_RECURSOS,205,Devuelta,Comprobantes requieren actualizacion reciente
95.50,2.00,0.00,3,LCE,85.00,12500.00,VIVIENDA_IMPROVISADA,1,1,EXCELENCIA_ACADEMICA,150,Aceptada,Excelente rendimiento academico y situacion economica precaria
45.20,35.00,40.00,8,LAE,60.00,45000.00,CASA_PROPIA,0,0,ESCASOS_RECURSOS,200,Rechazada,Promedio academico insuficiente para beca de excelencia
82.30,8.50,5.00,5,LCP,75.00,28000.00,DEPARTAMENTO,1,1,CONSTANCIA,100,Devuelta,Documentacion socioeconomica incompleta para validacion
78.90,12.00,15.00,6,LEI,70.00,32000.00,RESIDENCIA,0,1,ESTUDIANTE_TRABAJO,80,Aceptada,Situacion economica critica con buen rendimiento academico
88.60,3.00,2.00,2,IME,80.00,18500.00,VIVIENDA_IMPROVISADA,1,0,EXCELENCIA_ACADEMICA,145,Rechazada,Indices de reprobacion y bajas demasiado elevados
52.10,25.00,30.00,10,LTA,55.00,62000.00,CASA_PROPIA,0,1,ESCASOS_RECURSOS,195,Aceptada,Estudiante trabajador con buen desempe単o academico
91.20,1.50,1.00,4,IQ,88.00,23500.00,DEPARTAMENTO,1,0,CONSTANCIA,95,Rechazada,Ingreso familiar excede limite para beca economica
65.40,18.00,22.00,7,LM,65.00,38000.00,RESIDENCIA,0,0,ESTUDIANTE_TRABAJO,75,Devuelta,Falta documentacion comprobatoria de empleo
85.70,5.00,4.00,3,ISW,78.00,14200.00,VIVIENDA_IMPROVISADA,1,1,EXCELENCIA_ACADEMICA,155,Aceptada,Constancia academica destacada sin deudas
48.90,32.00,38.00,9,IB,58.00,58000.00,CASA_PROPIA,0,1,ESCASOS_RECURSOS,205,Rechazada,Numero de becas agotado para esta categoria
96.80,0.50,0.00,1,MCI,92.00,26500.00,DEPARTAMENTO,1,0,CONSTANCIA,105,Aceptada,Excelencia academica con carga academica completa
59.30,20.00,25.00,6,LARQ,62.00,42000.00,RESIDENCIA,0,1,ESTUDIANTE_TRABAJO,85,Rechazada,Semestres avanzados con bajo rendimiento academico
83.50,7.00,6.00,4,LEF,77.00,16800.00,VIVIENDA_IMPROVISADA,1,0,EXCELENCIA_ACADEMICA,148,Devuelta,Informacion de vivienda requiere verificacion
71.20,15.00,18.00,5,LG,68.00,51000.00,CASA_PROPIA,0,0,ESCASOS_RECURSOS,198,Aceptada,Escasos recursos con potencial academico demostrado
89.40,2.50,1.50,2,MATI,84.00,29500.00,DEPARTAMENTO,1,1,CONSTANCIA,98,Rechazada,Deudas existentes afectan elegibilidad constancia
55.60,28.00,35.00,8,LCPM,57.00,35500.00,RESIDENCIA,0,0,ESTUDIANTE_TRABAJO,78,Aceptada,Estudiante trabajador sin apoyo economico familiar
92.70,1.00,0.50,3,MILC,90.00,13200.00,VIVIENDA_IMPROVISADA,1,1,EXCELENCIA_ACADEMICA,152,Rechazada,Promedio inferior al minimo requerido
62.80,16.00,20.00,7,LD,64.00,49000.00,CASA_PROPIA,0,1,ESCASOS_RECURSOS,202,Devuelta,Comprobante de ingresos familiar ilegible
87.10,4.00,3.00,4,MIACS,82.00,27500.00,DEPARTAMENTO,1,0,CONSTANCIA,102,Aceptada,Rendimiento sobresaliente en carrera de alta demanda
50.30,30.00,36.00,10,ECA,56.00,39500.00,RESIDENCIA,0,1,ESTUDIANTE_TRABAJO,82,Rechazada,Tipo de vivienda no coincide con escasos recursos
94.20,1.20,0.80,2,ME,87.00,15200.00,VIVIENDA_IMPROVISADA,1,0,EXCELENCIA_ACADEMICA,149,Aceptada,Constancia en mejora academica progresiva
58.70,22.00,28.00,6,LEAGC,63.00,54000.00,CASA_PROPIA,0,0,ESCASOS_RECURSOS,199,Rechazada,Disponibilidad de becas agotada en convocatoria
84.60,6.50,5.50,5,LII,76.00,31500.00,DEPARTAMENTO,1,1,CONSTANCIA,99,Devuelta,Formulario academico con datos inconsistentes
69.80,14.00,17.00,7,LP,67.00,36500.00,RESIDENCIA,0,1,ESTUDIANTE_TRABAJO,79,Aceptada,Situacion economica vulnerable con buen desempeno
90.10,2.20,1.20,3,MIAIC,86.00,11800.00,VIVIENDA_IMPROVISADA,1,1,EXCELENCIA_ACADEMICA,151,Rechazada,Indice de reprobacion superior al 30%
53.90,26.00,32.00,9,MVZ,59.00,47000.00,CASA_PROPIA,0,0,ESCASOS_RECURSOS,201,Aceptada,Excelencia academica en semestres iniciales
93.50,0.80,0.30,1,MF,91.00,28500.00,DEPARTAMENTO,1,0,CONSTANCIA,101,Rechazada,Estudiante sin empleo para beca trabajo
61.50,17.00,21.00,6,LENF,66.00,40500.00,RESIDENCIA,0,0,ESTUDIANTE_TRABAJO,81,Devuelta,Documentacion de identidad incompleta
86.30,4.50,3.50,4,MTIN,83.00,13800.00,VIVIENDA_IMPROVISADA,1,1,EXCELENCIA_ACADEMICA,147,Aceptada,Promedio destacado con carga academica maxima
49.70,31.00,37.00,8,PAD,58.50,52000.00,CASA_PROPIA,0,1,ESCASOS_RECURSOS,197,Rechazada,Ingresos superan limite para apoyo economico
97.00,0.20,0.00,2,MCIQ,94.00,30500.00,DEPARTAMENTO,1,1,CONSTANCIA,97,Aceptada,Constancia academica sin bajas ni reprobaciones
57.40,23.00,29.00,7,LDG,61.00,37500.00,RESIDENCIA,0,0,ESTUDIANTE_TRABAJO,77,Rechazada,Semestre avanzado con promedio regular
82.90,7.50,6.50,5,IME,74.00,12800.00,VIVIENDA_IMPROVISADA,1,0,EXCELENCIA_ACADEMICA,153,Devuelta,Comprobante domiciliario requiere actualizacion
68.20,13.00,16.00,8,IBT,69.00,56000.00,CASA_PROPIA,0,1,ESCASOS_RECURSOS,203,Aceptada,Estudiante trabajador con excelente organizacion
88.90,2.80,1.80,3,MIED,85.00,32500.00,DEPARTAMENTO,1,0,CONSTANCIA,103,Rechazada,Deudas recientes afectan perfil constancia
54.80,27.00,33.00,10,ICA,60.00,38500.00,RESIDENCIA,0,1,ESTUDIANTE_TRABAJO,83,Aceptada,Escasos recursos con vivienda improvisada
91.80,1.20,0.70,4,MADN,89.00,14800.00,VIVIENDA_IMPROVISADA,1,1,EXCELENCIA_ACADEMICA,146,Rechazada,Promedio academico inferior a 70 puntos
63.70,19.00,24.00,6,LDCFD,65.00,53000.00,CASA_PROPIA,0,0,ESCASOS_RECURSOS,196,Devuelta,Historial academico con semestres faltantes
85.20,5.50,4.50,5,MEIGI,79.00,33500.00,DEPARTAMENTO,1,1,CONSTANCIA,96,Aceptada,Potencial academico en situacion vulnerable
47.50,33.00,39.00,9,IE,57.00,41500.00,RESIDENCIA,0,0,ESTUDIANTE_TRABAJO,76,Rechazada,Carga academica insuficiente para apoyo
95.90,0.70,0.20,1,MESF,93.00,12200.00,VIVIENDA_IMPROVISADA,1,0,EXCELENCIA_ACADEMICA,154,Aceptada,Constancia perfecta en rendimiento academico
60.10,21.00,26.00,7,LAET,64.50,59000.00,CASA_PROPIA,0,1,ESCASOS_RECURSOS,204,Rechazada,Vivienda propia no justifica apoyo economico
83.80,6.80,5.80,4,LCEF,78.00,34500.00,DEPARTAMENTO,1,0,CONSTANCIA,104,Devuelta,Comprobante laboral con fechas inconsistentes
70.50,12.50,15.50,6,ISW,71.00,42500.00,RESIDENCIA,0,1,ESTUDIANTE_TRABAJO,84,Aceptada,Excelencia academica con participacion destacada
89.70,2.30,1.30,3,MGFN,88.00,15800.00,VIVIENDA_IMPROVISADA,1,1,EXCELENCIA_ACADEMICA,150,Rechazada,Indice de bajas afecta elegibilidad
56.30,24.00,31.00,8,LEI,62.50,60000.00,CASA_PROPIA,0,0,ESCASOS_RECURSOS,200,Aceptada,Situacion economica precaria con buen promedio
92.40,0.90,0.40,2,MP,90.50,35500.00,DEPARTAMENTO,1,1,CONSTANCIA,100,Rechazada,Semestres iniciales con rendimiento deficiente
64.90,18.50,23.00,7,LTA,67.50,43500.00,RESIDENCIA,0,0,ESTUDIANTE_TRABAJO,80,Devuelta,Informacion socioeconomica contradictoria
86.80,4.20,3.20,5,MME,81.00,13200.00,VIVIENDA_IMPROVISADA,1,0,EXCELENCIA_ACADEMICA,145,Aceptada,Estudiante trabajador con responsabilidad comprobada
51.20,29.00,34.00,9,IELE,59.50,45500.00,CASA_PROPIA,0,1,ESCASOS_RECURSOS,195,Rechazada,Numero maximo de becas ya asignado
94.60,1.10,0.60,3,MCNR,87.50,37500.00,DEPARTAMENTO,1,1,CONSTANCIA,95,Aceptada,Rendimiento academico excelente y constante
59.80,20.50,27.00,6,LARQ,63.80,47500.00,RESIDENCIA,0,0,ESTUDIANTE_TRABAJO,75,Rechazada,Tipo de beca no coincide con perfil estudiante
84.10,7.20,6.20,4,LM,77.50,11800.00,VIVIENDA_IMPROVISADA,1,0,EXCELENCIA_ACADEMICA,155,Devuelta,Documentacion academica requiere sellos oficiales
72.30,11.00,14.00,5,LG,73.00,50000.00,CASA_PROPIA,0,1,ESCASOS_RECURSOS,205,Aceptada,Escasos recursos con multiples dependientes economicos
90.50,2.00,1.00,2,ME,84.50,40500.00,DEPARTAMENTO,1,0,CONSTANCIA,105,Rechazada,Empleo informal no cumple requisitos beca trabajo
57.90,25.50,32.50,8,LCP,61.80,48500.00,RESIDENCIA,0,1,ESTUDIANTE_TRABAJO,85,Aceptada,Constancia academica con mejora continua
93.10,0.60,0.10,1,MF,92.00,13800.00,VIVIENDA_IMPROVISADA,1,1,EXCELENCIA_ACADEMICA,148,Rechazada,Promedio justo en limite inferior aceptable
65.80,17.50,22.50,7,LD,68.80,51500.00,CASA_PROPIA,0,1,ESCASOS_RECURSOS,198,Devuelta,Comprobantes ingresos requieren traduccion oficial
87.50,3.80,2.80,4,MIACS,82.50,43500.00,DEPARTAMENTO,1,1,CONSTANCIA,98,Aceptada,Excelencia en carrera de alta dificultad academica
52.60,28.50,35.50,9,ECA,60.80,49500.00,RESIDENCIA,0,0,ESTUDIANTE_TRABAJO,78,Rechazada,Vivienda en residencia estudiantil con recursos
96.20,0.40,0.00,2,MCI,89.00,12800.00,VIVIENDA_IMPROVISADA,1,0,EXCELENCIA_ACADEMICA,152,Aceptada,Estudiante trabajador con excelente promedio
58.40,22.50,28.50,6,LEAGC,64.20,52500.00,CASA_PROPIA,0,0,ESCASOS_RECURSOS,202,Rechazada,Deudas educativas previas afectan elegibilidad
85.90,5.80,4.80,5,LII,79.50,44500.00,DEPARTAMENTO,1,0,CONSTANCIA,102,Devuelta,Formulario socioeconomico con secciones vacias
73.60,10.50,13.50,7,LP,74.50,53500.00,RESIDENCIA,0,1,ESTUDIANTE_TRABAJO,82,Aceptada,Situacion economica critica con potencial academico
91.30,1.80,0.90,3,MIAIC,86.50,12200.00,VIVIENDA_IMPROVISADA,1,1,EXCELENCIA_ACADEMICA,149,Rechazada,Semestres avanzados con bajo rendimiento consistente
55.10,26.50,33.50,9,MVZ,62.10,55500.00,CASA_PROPIA,0,1,ESCASOS_RECURSOS,199,Aceptada,Constancia perfecta en asistencia y rendimiento
94.00,0.80,0.30,4,MTIN,88.20,46500.00,DEPARTAMENTO,1,0,CONSTANCIA,99,Rechazada,Categoria de beca no aplica para carrera
66.70,16.50,21.50,6,LENF,69.70,56500.00,RESIDENCIA,0,0,ESTUDIANTE_TRABAJO,79,Devuelta,Documentacion laboral incompleta para verificacion
88.40,3.50,2.50,5,MIP,83.40,14200.00,VIVIENDA_IMPROVISADA,1,1,EXCELENCIA_ACADEMICA,151,Aceptada,Escasos recursos con discapacidad comprobada
53.40,27.50,34.50,8,PAD,61.40,57500.00,CASA_PROPIA,0,0,ESCASOS_RECURSOS,201,Rechazada,Ingresos familiares en rango medio no aplican
97.30,0.10,0.00,1,MCIQ,95.00,48500.00,DEPARTAMENTO,1,1,CONSTANCIA,101,Aceptada,Estudiante trabajador con horario completo
59.20,21.50,27.50,7,LDG,65.20,47500.00,RESIDENCIA,0,1,ESTUDIANTE_TRABAJO,81,Rechazada,Indice de reprobacion en materias clave
86.10,6.20,5.20,4,IME,80.10,16800.00,VIVIENDA_IMPROVISADA,1,0,EXCELENCIA_ACADEMICA,147,Devuelta,Comprobante estudios con errores ortograficos
74.80,9.50,12.50,6,IBT,75.80,55500.00,CASA_PROPIA,0,1,ESCASOS_RECURSOS,197,Aceptada,Excelencia academica con participacion investigacion
92.00,1.50,0.80,3,MIED,87.00,46500.00,DEPARTAMENTO,1,1,CONSTANCIA,97,Rechazada,Tipo vivienda no coincide con declaracion ingresos
56.70,23.50,30.50,8,ICA,63.70,54500.00,RESIDENCIA,0,0,ESTUDIANTE_TRABAJO,77,Aceptada,Constancia academica sin incidencias negativas
95.40,0.90,0.40,2,MADN,90.40,13200.00,VIVIENDA_IMPROVISADA,1,0,EXCELENCIA_ACADEMICA,153,Rechazada,Numero de becas insuficiente para demanda
67.90,15.50,20.50,7,LDCFD,70.90,52500.00,CASA_PROPIA,0,1,ESCASOS_RECURSOS,203,Devuelta,Documentacion requiere legalizacion notarial
89.20,3.20,2.20,5,MEIGI,84.20,44500.00,DEPARTAMENTO,1,1,CONSTANCIA,103,Aceptada,Situacion economica extrema con buen rendimiento
54.60,24.50,31.50,9,IE,64.60,56500.00,RESIDENCIA,0,0,ESTUDIANTE_TRABAJO,83,Rechazada,Promedio academico fluctuante sin tendencia mejora
96.60,0.30,0.10,1,MESF,94.60,15200.00,VIVIENDA_IMPROVISADA,1,1,EXCELENCIA_ACADEMICA,146,Aceptada,Estudiante trabajador con dependientes economicos
61.30,19.50,25.50,6,LAET,66.30,48500.00,CASA_PROPIA,0,0,ESCASOS_RECURSOS,196,Rechazada,Semestre inicial con historial academico insuficiente
87.90,4.80,3.80,4,LCEF,81.90,50500.00,DEPARTAMENTO,1,0,CONSTANCIA,96,Devuelta,Informacion empleador requiere verificacion directa
75.90,8.50,11.50,5,ISW,76.90,53500.00,RESIDENCIA,0,1,ESTUDIANTE_TRABAJO,76,Aceptada,Excelencia academica con reconocimientos externos
93.70,1.20,0.60,3,MGFN,88.70,15800.00,VIVIENDA_IMPROVISADA,1,1,EXCELENCIA_ACADEMICA,154,Rechazada,Vivienda propia de lujo no justifica apoyo
57.60,22.00,29.00,7,LEI,67.60,55500.00,CASA_PROPIA,0,1,ESCASOS_RECURSOS,204,Aceptada,Constancia en carrera de alta desercion
97.90,0.00,0.00,2,MP,96.90,47500.00,DEPARTAMENTO,1,0,CONSTANCIA,104,Rechazada,Deudas comerciales afectan perfil economico
69.10,14.50,19.50,6,LTA,72.10,56500.00,RESIDENCIA,0,0,ESTUDIANTE_TRABAJO,84,Devuelta,Formulario con firmas faltantes o ilegibles
90.80,2.70,1.70,4,MME,85.80,14200.00,VIVIENDA_IMPROVISADA,1,1,EXCELENCIA_ACADEMICA,150,Aceptada,Escasos recursos con situacion familiar compleja
58.90,20.00,26.00,8,IELE,68.90,54500.00,CASA_PROPIA,0,0,ESCASOS_RECURSOS,200,Rechazada,Empleo temporal no cumple requisitos estabilidad
98.20,0.10,0.00,1,MCNR,97.20,52500.00,DEPARTAMENTO,1,1,CONSTANCIA,100,Aceptada,Rendimiento academico superior a expectativas
70.30,13.50,18.50,7,LARQ,73.30,47500.00,RESIDENCIA,0,1,ESTUDIANTE_TRABAJO,80,Rechazada,Carga academica minima no califica para apoyo
91.60,1.90,0.90,5,LM,86.60,16800.00,VIVIENDA_IMPROVISADA,1,0,EXCELENCIA_ACADEMICA,145,Devuelta,Documentacion academica con fechas inconsistentes
59.50,21.00,27.00,9,LG,69.50,55500.00,CASA_PROPIA,0,1,ESCASOS_RECURSOS,195,Aceptada,Estudiante trabajador con excelente gestion tiempo
98.50,0.00,0.00,3,ME,96.50,48500.00,DEPARTAMENTO,1,0,CONSTANCIA,105,Rechazada,Indice de bajas recurrente en historial
71.70,12.00,17.00,8,LCP,74.70,56500.00,RESIDENCIA,0,0,ESTUDIANTE_TRABAJO,75,Aceptada,Situacion de vulnerabilidad extrema comprobada
92.90,1.40,0.70,4,MF,89.90,13200.00,VIVIENDA_IMPROVISADA,1,1,EXCELENCIA_ACADEMICA,155,Rechazada,Promedio academico en limite muy ajustado
60.80,18.00,23.00,10,LD,71.80,54500.00,CASA_PROPIA,0,1,ESCASOS_RECURSOS,205,Devuelta,Comprobantes requieren actualizacion reciente
